Date of Tweet,Tweets Text,Likes,Retweets,Username
2021-05-18T04:06:31.000Z,"Saturday Love ( Extended Version) - Cherrelle with Alexander O'Neal, 1985, Tabu Records.
On YouTube: http://youtu.be/_X137oUeuHQ

#FridaysForFuture #Berlin #ClimateChange #cinemastrikesback #Influencer #P1 #BlackLivesMatter #California #BMAS_Bund #ForaFutureDancefloor #EndSARS",6,15,Mei:kl phil.
2021-05-19T17:45:45.000Z,What is going on! After #endsars  Gov. Wiki of Rivers called for the killing of Igbo in obigbo. Against the outcry of Fulani bandits. Gov Hope brought the helicopter for the killing of Igbo in Imo state. Now Israel/ Palestinians clash. IG of Police ordered revenge on Igbo,1,6,Dondada
2021-05-23T03:09:55.000Z,"Twitter and censorship , 5&6. Just 4mins my content not available no more  #EndSARS  in #Nigeria",2,1,PATOFATO - TMG
2021-05-19T14:29:29.000Z,"Don't let Crypto gives you hypertension... Go out there and eat food, I mean better FOOD

Bitcoin Binance Frank Lampard #EndSARS owerri China",1,,Tìmì Ede of Lagos
2021-05-23T05:27:27.000Z,"#Nigeria
#GovYahayaBello
#EndSARS
EFCC
Lekki
Neo Akpofure This Nigeria Will Never Change Because Even Police Join Dey Street To Obtain You -",,,Anomuogharan Tanrose
2021-05-25T12:27:00.000Z,At 21 yrs old.  #EndSARS demon,1,,Jubril of Sudan till 2023
2021-05-24T15:31:36.000Z,"Breaking News KOIKIMEDIA 

There is riot in ibeju lekki Area j police station now

Police man killed an OKADA rider

KOIKI MEDIA
Koikimedia bringing the world closer to your doorstep #ibejulekki 

24th May 2021",32,28,KOIKIMEDIA
2021-05-24T19:26:19.000Z,They just finished repairing this police after guys burnt it during #EndSARS . Elemoro police station was totally burnt down because of the criminal activities of the Nigeria police.,1,,Senior Man Omoluabi 1
2021-05-21T00:52:24.000Z,"""Shoot the Messenger"" brought back memories of the #EndSARS. RIP Jimoh and everyone who didn't have to die protesting our deaths. Truly #Golden 
@thisisAQ",1,4,Daniel Ojukwu
2021-05-24T08:29:04.000Z,"Replying to 
@SaharaReporters",37,,#ENDSARS
2021-05-24T11:49:30.000Z,"No be small o.
This government is working really hard and people are trying to sabotage all their hard works.

#igbotic 
#EndSARS 
#spareparts",3,,Anonymous
